# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.644721467508270223e+02 6.411517134486291347e+00 7.548420323786421795e+04 3.267032728295540096e+02 1.644721467508270223e+02 6.411517134486291347e+00 7.548420323786421795e+04 3.267032728295540096e+02
5.000000000000000000e+01 4.699227817079746905e-01 2.528206137939791542e+00 7.810650353433466989e+03 7.844429276756031966e-02 4.699227817079746905e-01 2.528206137939791542e+00 7.810650353433466989e+03 7.844429276756031966e-02
1.000000000000000000e+02 2.640242365112860590e+00 7.328777174544395256e-01 2.608235458557991024e+03 5.065110579489684461e-01 2.640242365112860590e+00 7.328777174544395256e-01 2.608235458557991024e+03 5.065110579489684461e-01
1.500000000000000000e+02 1.783740443855453828e+00 2.050053691702660164e-01 2.558934926739137609e+03 5.617944767124937941e-03 1.783740443855453828e+00 2.050053691702660164e-01 2.558934926739137609e+03 5.617944767124937941e-03
2.000000000000000000e+02 1.585665705694086158e+00 2.167068493915370320e-01 2.542018901073956386e+03 4.927162790605560741e-03 1.585665705694086158e+00 2.167068493915370320e-01 2.542018901073956386e+03 4.927162790605560741e-03
2.500000000000000000e+02 1.400044812459690258e+00 2.386904029366432589e-01 2.520418948402130809e+03 7.457609826251578901e-03 1.400044812459690258e+00 2.386904029366432589e-01 2.520418948402130809e+03 7.457609826251578901e-03
3.000000000000000000e+02 1.226683349385615074e+00 2.824214832334553948e-01 2.491754347133546617e+03 1.392950575390282386e-02 1.226683349385615074e+00 2.824214832334553948e-01 2.491754347133546617e+03 1.392950575390282386e-02
3.500000000000000000e+02 1.071613076139604104e+00 3.716944486614832122e-01 2.451463088560609322e+03 3.073422007303456410e-02 1.071613076139604104e+00 3.716944486614832122e-01 2.451463088560609322e+03 3.073422007303456410e-02
4.000000000000000000e+02 9.416023932427457499e-01 5.664271653802978035e-01 2.390773706626010153e+03 7.758920484275608209e-02 9.416023932427457499e-01 5.664271653802978035e-01 2.390773706626010153e+03 7.758920484275608209e-02
4.500000000000000000e+02 8.497736478425740314e-01 1.037695619584185547e+00 2.293175359688153094e+03 2.159992187577393641e-01 8.497736478425740314e-01 1.037695619584185547e+00 2.293175359688153094e+03 2.159992187577393641e-01
5.000000000000000000e+02 8.257097257986339978e-01 2.313123803185932470e+00 2.134877708861223709e+03 6.116460895065811698e-01 8.257097257986339978e-01 2.313123803185932470e+00 2.134877708861223709e+03 6.116460895065811698e-01
5.500000000000000000e+02 9.593722164968238042e-01 5.573476895391627828e+00 1.928672339842043812e+03 1.445381325812877593e+00 9.593722164968238042e-01 5.573476895391627828e+00 1.928672339842043812e+03 1.445381325812877593e+00
